Body_weight	Humerus_length
6	9.14
6	9.39
10	11.43
10	11.64
8	11.85
13	11.93
14	12.18
9	12.26
10	12.47
11	12.81
10	12.94
13	13.02
8	13.05
20	14.07
23	15.85
17	15.86
16	15.91
17	15.94
19	16.02
20	16.30
20	17.04
20	17.05
25	17.16
20	17.19
28	17.36
27	17.54
26	17.66
27	17.68
27	17.68
14	17.69
25	17.78
28	17.84
30	17.86
30	17.92
19	18.01
17	18.04
26	18.05
25	18.05
23	18.05
25	18.15
14	18.16
26	18.28
22	18.34
31	18.35
29	18.35
18	18.71
22	19.44
30	19.64
29	19.75
15	19.95
26	20.36
29	20.50
45	23.82
28	24.40
62	26.09
67	26.12
89	26.34
46	26.42
75	26.74
72	26.82
97	27.64
84	28.00
116	28.04
85	28.16
106	28.46
98	28.60
73	28.65
92	29.15
65	29.30
58	29.38
62	29.40
88	30.00
93	30.19
120	30.31
148	34.89
138	40.32
244	44.86
219	47.31
