min_return,risk
0,0.3366825765
0.25,0.3366822522
0.5,0.3366822554
0.75,0.3366822587
1,0.3366822724
1.25,0.3366822646
1.5,0.336682259
1.75,0.3366822631
2,0.3366822671
2.25,0.3366822711
2.5,0.336682272
2.75,0.336682272
3,0.3366822721
3.25,0.3366822686
3.5,0.3366822633
3.75,0.3366822559
4,0.3366822502
4.25,0.3366822284
4.5,0.3366822052
4.75,0.3366821929
5,0.3366824351
5.25,0.337555378
5.5,0.3430611664
5.75,0.351565832
6,0.3617038793
6.25,0.3730495497
6.5,0.3855493962
6.75,0.3989598722
7,0.413245949
7.25,0.4284151866
7.5,0.4444522017
7.75,0.4612887628
8,0.4789120979
8.25,0.4973226012
8.5,0.516521269
8.75,0.5364960043
9,0.5573935115
9.25,0.5810263375
9.5,0.6078122408
9.75,0.6375818447
10,0.6703219316
10.25,0.7060369148
10.5,0.7447294787
10.75,0.786400099
11,0.8310476711
11.25,0.8786719593
11.5,0.9292776051
11.75,0.9828511228
12,1.039405256
12.25,1.101172824
12.5,1.173669093
12.75,1.257152227
13,1.351609054
13.25,1.457055393
13.5,1.576688712
13.75,1.723025848
14,1.932112377
14.25,2.020395249
